timestamp_ns,request_id,token_idx,itl_ms
3535073365545844,req_0000,0,1782.1651
3535074310906664,req_0000,1,945.3608
3535074343256382,req_0000,2,32.3497
3535074343266291,req_0001,0,2759.3755
3535074343272283,req_0002,0,2759.3263
3535074343277322,req_0003,0,2759.2953
3535074343286350,req_0004,0,2759.2498
3535074343290739,req_0005,0,2759.2203
3535074343295147,req_0006,0,2759.1903
3535074343299155,req_0007,0,2759.1617
3535074343302762,req_0008,0,2759.1328
3535074343306779,req_0009,0,2759.1082
3535074343312901,req_0010,0,2759.0884
3535074343316538,req_0011,0,2759.0660
3535074343322890,req_0012,0,2759.0455
3535074343326618,req_0013,0,2759.0251
3535074343330405,req_0014,0,2758.9792
3535074343334052,req_0015,0,2758.9378
3535074343337759,req_0016,0,2758.8890
3535074343341266,req_0017,0,2758.8393
3535074343344632,req_0018,0,2758.7830
3535074343348270,req_0019,0,2758.7371
3535074343351927,req_0020,0,2758.6880
3535074343355433,req_0021,0,2758.6528
3535074343359231,req_0022,0,2758.6277
3535074343362747,req_0023,0,2758.6058
3535074343366294,req_0024,0,2758.5798
3535074343369952,req_0025,0,2758.5464
3535074343378167,req_0026,0,2758.4993
3535074343382185,req_0027,0,2758.4500
3535074343386073,req_0028,0,2758.4104
3535074343389700,req_0029,0,2758.3746
3535074343393156,req_0030,0,2758.3363
3535074343396844,req_0031,0,2758.2977
3535074343400120,req_0032,0,2758.2609
3535074343403406,req_0033,0,2758.2222
3535074343406712,req_0034,0,2758.1836
3535074343409949,req_0035,0,2758.1440
3535074343413325,req_0036,0,2758.1116
3535074343416612,req_0037,0,2758.0781
3535074343420048,req_0038,0,2758.0417
3535074343423515,req_0039,0,2758.0049
3535074343426601,req_0040,0,2757.9716
3535074343429837,req_0041,0,2757.9393
3535074343433164,req_0042,0,2757.8325
3535074343436891,req_0043,0,2757.7906
3535074343440257,req_0044,0,2757.7436
3535074343443724,req_0045,0,2757.7079
3535074343446890,req_0046,0,2757.6713
3535074343450317,req_0047,0,2757.6368
3535074343453503,req_0048,0,2757.5945
3535074343456960,req_0049,0,2757.5602
3535074343460977,req_0050,0,2757.5281
3535074343464614,req_0051,0,2757.4959
3535074343467801,req_0052,0,2757.4635
3535074343471337,req_0053,0,2757.4179
3535074343474995,req_0054,0,2757.3795
3535074343478401,req_0055,0,2757.3460
3535074343481757,req_0056,0,2757.3120
3535074343484974,req_0057,0,2757.2674
3535074343488360,req_0058,0,2757.2297
3535074343491727,req_0059,0,2757.1958
3535074343495113,req_0060,0,2757.1618
3535074343498400,req_0061,0,2757.1216
3535074343501626,req_0062,0,2757.0828
3535074343505423,req_0063,0,2757.0452
3535074835418890,req_0000,3,492.1625
3535074835430803,req_0001,1,492.1645
3535074835436744,req_0002,1,492.1645
3535074835441784,req_0003,1,492.1645
3535074835446774,req_0004,1,492.1604
3535074835451713,req_0005,1,492.1610
3535074835456132,req_0006,1,492.1610
3535074835460270,req_0007,1,492.1611
3535074835464468,req_0008,1,492.1617
3535074835468596,req_0009,1,492.1618
3535074835472534,req_0010,1,492.1596
3535074835476802,req_0011,1,492.1603
3535074835480679,req_0012,1,492.1578
3535074835484537,req_0013,1,492.1579
3535074835488164,req_0014,1,492.1578
3535074835492252,req_0015,1,492.1582
3535074835495809,req_0016,1,492.1581
3535074835499586,req_0017,1,492.1583
3535074835503654,req_0018,1,492.1590
3535074835507832,req_0019,1,492.1596
3535074835511579,req_0020,1,492.1597
3535074835515246,req_0021,1,492.1598
3535074835518823,req_0022,1,492.1596
3535074835522590,req_0023,1,492.1598
3535074835526227,req_0024,1,492.1599
3535074835529784,req_0025,1,492.1598
3535074835534012,req_0026,1,492.1558
3535074835538531,req_0027,1,492.1563
3535074835542549,req_0028,1,492.1565
3535074835546537,req_0029,1,492.1568
3535074835550114,req_0030,1,492.1570
3535074835554081,req_0031,1,492.1572
3535074835557808,req_0032,1,492.1577
3535074835561706,req_0033,1,492.1583
3535074835565283,req_0034,1,492.1586
3535074835568960,req_0035,1,492.1590
3535074835572838,req_0036,1,492.1595
3535074835576485,req_0037,1,492.1599
3535074835580152,req_0038,1,492.1601
3535074835583879,req_0039,1,492.1604
3535074835587255,req_0040,1,492.1607
3535074835591173,req_0041,1,492.1613
3535074835594960,req_0042,1,492.1618
3535074835599519,req_0043,1,492.1626
3535074835603286,req_0044,1,492.1630
3535074835606823,req_0045,1,492.1631
3535074835610300,req_0046,1,492.1634
3535074835614338,req_0047,1,492.1640
3535074835618205,req_0048,1,492.1647
3535074835621702,req_0049,1,492.1647
3535074835625760,req_0050,1,492.1648
3535074835629336,req_0051,1,492.1647
3535074835633224,req_0052,1,492.1654
3535074835636981,req_0053,1,492.1656
3535074835640518,req_0054,1,492.1655
3535074835644486,req_0055,1,492.1661
3535074835648453,req_0056,1,492.1667
3535074835652010,req_0057,1,492.1670
3535074835655437,req_0058,1,492.1671
3535074835658894,req_0059,1,492.1672
3535074835662340,req_0060,1,492.1672
3535074835665807,req_0061,1,492.1674
3535074835669184,req_0062,1,492.1676
3535074835673171,req_0063,1,492.1677
3535074841878269,req_0000,4,6.4594
3535074841886876,req_0001,2,6.4561
3535074841892687,req_0002,2,6.4559
3535074841896865,req_0003,2,6.4551
3535074841900652,req_0004,2,6.4539
3535074841904209,req_0005,2,6.4525
3535074841907606,req_0006,2,6.4515
3535074841911063,req_0007,2,6.4508
3535074841914590,req_0008,2,6.4501
3535074841918126,req_0009,2,6.4495
3535074841921423,req_0010,2,6.4489
3535074841924649,req_0011,2,6.4478
3535074841927905,req_0012,2,6.4472
3535074841931312,req_0013,2,6.4468
3535074841934648,req_0014,2,6.4465
3535074841938005,req_0015,2,6.4458
3535074841946070,req_0016,2,6.4503
3535074841949617,req_0017,2,6.4500
3535074841953224,req_0018,2,6.4496
3535074841958214,req_0019,2,6.4504
3535074841961610,req_0020,2,6.4500
3535074841964816,req_0021,2,6.4496
3535074841968033,req_0022,2,6.4492
3535074841971319,req_0023,2,6.4487
3535074841974525,req_0024,2,6.4483
3535074841977792,req_0025,2,6.4480
3535074841981118,req_0026,2,6.4471
3535074841984344,req_0027,2,6.4458
3535074841987470,req_0028,2,6.4449
3535074841990877,req_0029,2,6.4443
3535074841994353,req_0030,2,6.4442
3535074841997560,req_0031,2,6.4435
3535074842000876,req_0032,2,6.4431
3535074842004163,req_0033,2,6.4425
3535074842007479,req_0034,2,6.4422
3535074842010815,req_0035,2,6.4419
3535074842014232,req_0036,2,6.4414
3535074842017649,req_0037,2,6.4412
3535074842021115,req_0038,2,6.4410
3535074842024442,req_0039,2,6.4406
3535074842027618,req_0040,2,6.4404
3535074842030874,req_0041,2,6.4397
3535074842034110,req_0042,2,6.4391
3535074842037848,req_0043,2,6.4383
3535074842041064,req_0044,2,6.4378
3535074842044330,req_0045,2,6.4375
3535074842047486,req_0046,2,6.4372
3535074842050662,req_0047,2,6.4363
3535074842053839,req_0048,2,6.4356
3535074842057005,req_0049,2,6.4353
3535074842060241,req_0050,2,6.4345
3535074842063457,req_0051,2,6.4341
3535074842066784,req_0052,2,6.4336
3535074842069959,req_0053,2,6.4330
3535074842073176,req_0054,2,6.4327
3535074842076302,req_0055,2,6.4318
3535074842079528,req_0056,2,6.4311
3535074842082714,req_0057,2,6.4307
3535074842085870,req_0058,2,6.4304
3535074842089006,req_0059,2,6.4301
3535074842092022,req_0060,2,6.4297
3535074842095288,req_0061,2,6.4295
3535074842098815,req_0062,2,6.4296
3535074842102102,req_0063,2,6.4289
3535074849746160,req_0000,5,7.8679
3535074849754966,req_0001,3,7.8681
3535074849760327,req_0002,3,7.8676
3535074849764846,req_0003,3,7.8680
3535074849768763,req_0004,3,7.8681
3535074849772440,req_0005,3,7.8682
3535074849776107,req_0006,3,7.8685
3535074849780887,req_0007,3,7.8698
3535074849784463,req_0008,3,7.8699
3535074849787800,req_0009,3,7.8697
3535074849791257,req_0010,3,7.8698
3535074849794683,req_0011,3,7.8700
3535074849798180,req_0012,3,7.8703
3535074849801697,req_0013,3,7.8704
3535074849805384,req_0014,3,7.8707
3535074849808871,req_0015,3,7.8709
3535074849812237,req_0016,3,7.8662
3535074849815614,req_0017,3,7.8660
3535074849818940,req_0018,3,7.8657
3535074849822287,req_0019,3,7.8641
3535074849825794,req_0020,3,7.8642
3535074849829330,req_0021,3,7.8645
3535074849832567,req_0022,3,7.8645
3535074849835713,req_0023,3,7.8644
3535074849838909,req_0024,3,7.8644
3535074849842225,req_0025,3,7.8644
3535074849846053,req_0026,3,7.8649
3535074849849990,req_0027,3,7.8656
3535074849853737,req_0028,3,7.8663
3535074849857294,req_0029,3,7.8664
3535074849860741,req_0030,3,7.8664
3535074849864358,req_0031,3,7.8668
3535074849867955,req_0032,3,7.8671
3535074849871331,req_0033,3,7.8672
3535074849874738,req_0034,3,7.8673
3535074849878064,req_0035,3,7.8672
3535074849881270,req_0036,3,7.8670
3535074849884507,req_0037,3,7.8669
3535074849887753,req_0038,3,7.8666
3535074849891590,req_0039,3,7.8671
3535074849894727,req_0040,3,7.8671
3535074849898103,req_0041,3,7.8672
3535074849901339,req_0042,3,7.8672
3535074849904646,req_0043,3,7.8668
3535074849907922,req_0044,3,7.8669
3535074849911158,req_0045,3,7.8668
3535074849914485,req_0046,3,7.8670
3535074849917631,req_0047,3,7.8670
3535074849920827,req_0048,3,7.8670
3535074849924053,req_0049,3,7.8670
3535074849927350,req_0050,3,7.8671
3535074849930716,req_0051,3,7.8673
3535074849934012,req_0052,3,7.8672
3535074849937519,req_0053,3,7.8676
3535074849940956,req_0054,3,7.8678
3535074849944523,req_0055,3,7.8682
3535074849951516,req_0056,3,7.8720
3535074849954793,req_0057,3,7.8721
3535074849958029,req_0058,3,7.8722
3535074849961175,req_0059,3,7.8722
3535074849964401,req_0060,3,7.8724
3535074849967748,req_0061,3,7.8725
3535074849971014,req_0062,3,7.8722
3535074849974390,req_0063,3,7.8723
3535074857312447,req_0000,6,7.5663
3535074857323268,req_0001,4,7.5683
3535074857329791,req_0002,4,7.5695
3535074857334951,req_0003,4,7.5701
3535074857339650,req_0004,4,7.5709
3535074857344229,req_0005,4,7.5718
3535074857348527,req_0006,4,7.5724
3535074857353276,req_0007,4,7.5724
3535074857358195,req_0008,4,7.5737
