timestamp,step,allreduce_latency_ms,allreduce_bw_gbs,io_flood_active,rank_is_flooder,nic_util_pct
0.3192,0,121.1065,4.1286,0,0,0.0
0.3432,1,23.5976,21.1886,0,0,0.0
0.367,2,23.2079,21.5444,0,0,0.0
0.3905,3,23.2431,21.5117,0,0,0.0
0.4145,4,23.3566,21.4072,0,0,0.0
0.4386,5,23.5411,21.2394,0,0,0.0
0.4631,6,24.0817,20.7626,0,0,0.0
0.4868,7,23.3673,21.3974,0,0,0.0
0.5106,8,23.452,21.3201,0,0,0.0
0.5344,9,23.4854,21.2898,0,0,0.0
0.5584,10,23.6819,21.1132,0,0,0.0
0.5815,11,22.6441,22.0808,0,0,0.0
0.6059,12,23.5794,21.205,0,0,0.0
0.6301,13,23.8969,20.9232,0,0,0.0
0.6539,14,23.4111,21.3574,0,0,0.0
0.6775,15,23.2984,21.4607,0,0,0.0
0.7014,16,23.6077,21.1796,0,0,0.0
0.7259,17,24.0968,20.7497,0,0,0.0
0.75,18,23.653,21.139,0,0,0.0
0.7743,19,23.9385,20.8868,0,0,0.0
0.7977,20,23.1157,21.6303,0,0,0.0
0.8215,21,23.378,21.3877,0,0,0.0
0.8452,22,23.1308,21.6162,0,0,0.0
0.8692,23,23.4914,21.2844,0,0,0.0
0.8925,24,22.8837,21.8496,0,0,0.0
0.9165,25,23.5218,21.2568,0,0,0.0
0.9406,26,23.5487,21.2326,0,0,0.0
0.9642,27,23.3103,21.4497,0,0,0.0
0.9883,28,23.7186,21.0805,0,0,0.0
1.0125,29,23.7346,21.0663,0,0,0.0
1.0361,30,23.3398,21.4227,0,0,0.0
1.0598,31,23.4676,21.306,0,0,0.0
1.0832,32,22.8722,21.8606,0,0,0.0
1.1079,33,24.0459,20.7935,0,0,0.0
1.1314,34,23.191,21.5601,0,0,0.0
1.1555,35,23.717,21.0819,0,0,0.0
1.179,36,23.1035,21.6418,0,0,0.0
1.2024,37,22.9089,21.8256,0,0,0.0
1.2266,38,23.6588,21.1338,0,0,0.0
1.2505,39,23.5425,21.2382,0,0,0.0
1.2746,40,23.7305,21.0699,0,0,0.0
1.298,41,23.205,21.5471,0,0,0.0
1.3221,42,23.6646,21.1286,0,0,0.0
1.3461,43,23.6832,21.112,0,0,0.0
1.3697,44,23.2904,21.4681,0,0,0.0
1.3931,45,23.1253,21.6213,0,0,0.0
1.4172,46,23.6513,21.1405,0,0,0.0
1.4412,47,23.636,21.1542,0,0,0.0
1.4648,48,23.4495,21.3224,0,0,0.0
1.4887,49,23.5542,21.2277,0,0,0.0
1.5128,50,23.7367,21.0645,0,0,0.0
1.5367,51,23.5228,21.2559,0,0,0.0
1.5603,52,23.1339,21.6133,0,0,0.0
1.584,53,23.2138,21.5389,0,0,0.0
1.6083,54,23.9813,20.8496,0,0,0.0
1.6324,55,23.8213,20.9896,0,0,0.0
1.6563,56,23.5812,21.2033,0,0,0.0
1.68,57,23.3679,21.3969,0,0,0.0
1.7033,58,22.9829,21.7553,0,0,0.0
1.7267,59,22.9946,21.7442,0,0,0.0
1.7507,60,23.4537,21.3186,0,0,0.0
1.7748,61,23.689,21.1069,0,0,0.0
1.7989,62,23.6826,21.1126,0,0,0.0
1.8227,63,23.2674,21.4893,0,0,0.0
1.8465,64,23.4099,21.3584,0,0,0.0
1.8701,65,23.1513,21.5971,0,0,0.0
1.8936,66,22.999,21.7401,0,0,0.0
1.9176,67,23.5147,21.2633,0,0,0.0
1.9414,68,23.3869,21.3795,0,0,0.0
1.9659,69,23.9505,20.8764,0,0,0.0
1.99,70,23.7574,21.0461,0,0,0.0
2.0139,71,23.6249,21.1641,0,0,0.0
2.0371,72,22.9275,21.8079,0,0,0.0
2.0614,73,23.6425,21.1484,0,0,0.0
2.0848,74,23.0961,21.6487,0,0,0.0
2.1088,75,23.5733,21.2105,0,0,0.0
2.1328,76,23.8148,20.9954,0,0,0.0
2.1564,77,23.3018,21.4576,0,0,0.0
2.1804,78,23.5867,21.1984,0,0,0.0
2.2041,79,23.3142,21.4462,0,0,0.0
2.2281,80,23.5473,21.2338,0,0,0.0
2.252,81,23.6152,21.1728,0,0,0.0
2.2756,82,23.2322,21.5218,0,0,0.0
2.2997,83,23.7423,21.0595,0,0,0.0
2.3247,84,23.679,21.1158,0,0,0.0
2.3483,85,23.4535,21.3188,0,0,0.0
2.3725,86,23.6376,21.1527,0,0,0.0
2.3964,87,23.6081,21.1792,0,0,0.0
2.42,88,23.3768,21.3887,0,0,0.0
2.4435,89,23.1226,21.6239,0,0,0.0
2.4675,90,23.4792,21.2954,0,0,0.0
2.4915,91,23.7688,21.036,0,0,0.0
2.5156,92,23.7234,21.0763,0,0,0.0
2.5396,93,23.5973,21.1889,0,0,0.0
2.5637,94,23.6128,21.175,0,0,0.0
2.5874,95,23.3467,21.4163,0,0,0.0
2.611,96,23.2629,21.4934,0,0,0.0
2.6349,97,23.4044,21.3635,0,0,0.0
2.6592,98,23.8719,20.9451,0,0,0.0
2.6824,99,22.992,21.7467,0,0,0.0
2.7158,100,32.6958,15.2925,0,0,0.0
2.741,101,23.9915,20.8407,0,0,0.0
2.7653,102,24.0005,20.8329,0,0,0.0
2.7908,103,24.94,20.0481,0,0,0.0
2.8163,104,24.9842,20.0127,0,0,0.0
2.8417,105,24.7719,20.1841,0,0,0.0
2.8674,106,24.8458,20.1242,0,0,0.0
2.8927,107,24.7041,20.2396,0,0,0.0
2.918,108,24.8029,20.1589,0,0,0.0
