timestamp,step,allreduce_latency_ms,allreduce_bw_gbs,io_flood_active,rank_is_flooder,nic_util_pct
0.3188,0,121.0703,4.1298,0,0,0.0
0.3436,1,23.9517,20.8753,0,0,0.0
0.3671,2,23.3394,21.423,0,0,0.0
0.391,3,23.72,21.0793,0,0,0.0
0.4149,4,23.7754,21.0302,0,0,0.0
0.4389,5,23.777,21.0287,0,0,0.0
0.4632,6,24.1967,20.664,0,0,0.0
0.487,7,23.5276,21.2517,0,0,0.0
0.5108,8,23.6565,21.1359,0,0,0.0
0.5346,9,23.6597,21.1329,0,0,0.0
0.5587,10,23.9952,20.8375,0,0,0.0
0.5821,11,23.3365,21.4256,0,0,0.0
0.6061,12,23.7694,21.0354,0,0,0.0
0.6303,13,24.1362,20.7157,0,0,0.0
0.6539,14,23.4337,21.3367,0,0,0.0
0.6774,15,23.257,21.4989,0,0,0.0
0.7016,16,23.8565,20.9586,0,0,0.0
0.7257,17,24.0061,20.828,0,0,0.0
0.7502,18,23.8945,20.9253,0,0,0.0
0.7744,19,24.1045,20.743,0,0,0.0
0.798,20,23.4866,21.2887,0,0,0.0
0.8219,21,23.7974,21.0107,0,0,0.0
0.8456,22,23.5277,21.2515,0,0,0.0
0.8694,23,23.7117,21.0866,0,0,0.0
0.8929,24,23.321,21.4399,0,0,0.0
0.9169,25,23.9053,20.9158,0,0,0.0
0.9408,26,23.7436,21.0583,0,0,0.0
0.9644,27,23.5239,21.255,0,0,0.0
0.9886,28,24.1128,20.7359,0,0,0.0
1.0127,29,23.9253,20.8984,0,0,0.0
1.0362,30,23.4669,21.3066,0,0,0.0
1.0601,31,23.7558,21.0475,0,0,0.0
1.0837,32,23.4156,21.3533,0,0,0.0
1.1081,33,24.2942,20.581,0,0,0.0
1.1315,34,23.2455,21.5095,0,0,0.0
1.1557,35,23.9282,20.8958,0,0,0.0
1.1793,36,23.4459,21.3257,0,0,0.0
1.2027,37,23.3331,21.4288,0,0,0.0
1.2268,38,23.952,20.8751,0,0,0.0
1.2507,39,23.7568,21.0466,0,0,0.0
1.2746,40,23.8275,20.9841,0,0,0.0
1.2983,41,23.5771,21.207,0,0,0.0
1.3221,42,23.6544,21.1377,0,0,0.0
1.3463,43,23.8951,20.9248,0,0,0.0
1.3698,44,23.4423,21.3289,0,0,0.0
1.3934,45,23.4963,21.28,0,0,0.0
1.4174,46,23.8112,20.9985,0,0,0.0
1.4412,47,23.7469,21.0554,0,0,0.0
1.4648,48,23.4063,21.3618,0,0,0.0
1.4889,49,23.7973,21.0108,0,0,0.0
1.513,50,23.967,20.8621,0,0,0.0
1.537,51,23.852,20.9626,0,0,0.0
1.5606,52,23.4902,21.2854,0,0,0.0
1.584,53,23.2325,21.5216,0,0,0.0
1.6084,54,24.1409,20.7118,0,0,0.0
1.6326,55,24.0314,20.8061,0,0,0.0
1.6563,56,23.5997,21.1867,0,0,0.0
1.68,57,23.3708,21.3942,0,0,0.0
1.7036,58,23.2713,21.4857,0,0,0.0
1.7271,59,23.4321,21.3382,0,0,0.0
1.7507,60,23.47,21.3038,0,0,0.0
1.7751,61,24.0424,20.7966,0,0,0.0
1.7993,62,24.0818,20.7626,0,0,0.0
1.8229,63,23.5306,21.2489,0,0,0.0
1.8468,64,23.6945,21.1019,0,0,0.0
1.8703,65,23.3804,21.3854,0,0,0.0
1.8939,66,23.3589,21.4051,0,0,0.0
1.9179,67,23.8095,21.0,0,0,0.0
1.9417,68,23.7385,21.0629,0,0,0.0
1.9661,69,24.1374,20.7147,0,0,0.0
1.9901,70,23.9182,20.9046,0,0,0.0
2.014,71,23.7832,21.0232,0,0,0.0
2.0376,72,23.4287,21.3413,0,0,0.0
2.0616,73,23.8947,20.9251,0,0,0.0
2.0848,74,23.0933,21.6513,0,0,0.0
2.1088,75,23.6482,21.1433,0,0,0.0
2.1328,76,23.8336,20.9788,0,0,0.0
2.1567,77,23.5751,21.2089,0,0,0.0
2.1806,78,23.8315,20.9806,0,0,0.0
2.2044,79,23.6604,21.1324,0,0,0.0
2.228,80,23.51,21.2675,0,0,0.0
2.2522,81,23.8586,20.9568,0,0,0.0
2.2756,82,23.2233,21.5301,0,0,0.0
2.3001,83,24.1444,20.7087,0,0,0.0
2.3248,84,23.9373,20.8879,0,0,0.0
2.3487,85,23.8311,20.981,0,0,0.0
2.3726,86,23.7849,21.0217,0,0,0.0
2.3965,87,23.8084,21.001,0,0,0.0
2.4202,88,23.6123,21.1754,0,0,0.0
2.4438,89,23.4795,21.2951,0,0,0.0
2.4675,90,23.486,21.2892,0,0,0.0
2.4917,91,23.9956,20.8371,0,0,0.0
2.5159,92,24.0358,20.8023,0,0,0.0
2.54,93,23.9531,20.8741,0,0,0.0
2.5639,94,23.8271,20.9845,0,0,0.0
