timestamp,step,allreduce_latency_ms,allreduce_bw_gbs,io_flood_active,rank_is_flooder,nic_util_pct
0.3183,0,120.8183,4.1384,0,0,0.0
0.3431,1,23.8391,20.974,0,0,0.0
0.3666,2,23.2486,21.5067,0,0,0.0
0.3905,3,23.6326,21.1572,0,0,0.0
0.4145,4,23.6867,21.1088,0,0,0.0
0.4385,5,23.7295,21.0708,0,0,0.0
0.4628,6,24.1551,20.6995,0,0,0.0
0.4865,7,23.3823,21.3837,0,0,0.0
0.5103,8,23.5814,21.2031,0,0,0.0
0.5341,9,23.574,21.2098,0,0,0.0
0.5582,10,23.9043,20.9167,0,0,0.0
0.5817,11,23.2256,21.5279,0,0,0.0
0.6056,12,23.6935,21.1028,0,0,0.0
0.6298,13,24.0345,20.8034,0,0,0.0
0.6534,14,23.3391,21.4232,0,0,0.0
0.6769,15,23.1282,21.6186,0,0,0.0
0.7012,16,23.7942,21.0135,0,0,0.0
0.7253,17,23.9297,20.8946,0,0,0.0
0.7497,18,23.8063,21.0029,0,0,0.0
0.774,19,24.0103,20.8244,0,0,0.0
0.7976,20,23.395,21.372,0,0,0.0
0.8215,21,23.6984,21.0985,0,0,0.0
0.8451,22,23.4133,21.3554,0,0,0.0
0.869,23,23.6035,21.1833,0,0,0.0
0.8924,24,23.2223,21.531,0,0,0.0
0.9164,25,23.8203,20.9905,0,0,0.0
0.9403,26,23.6334,21.1565,0,0,0.0
0.9639,27,23.4393,21.3317,0,0,0.0
0.9882,28,24.0325,20.8052,0,0,0.0
1.0122,29,23.8516,20.9629,0,0,0.0
1.0358,30,23.373,21.3922,0,0,0.0
1.0596,31,23.6673,21.1262,0,0,0.0
1.0832,32,23.3275,21.4339,0,0,0.0
1.1077,33,24.2221,20.6423,0,0,0.0
1.1308,34,22.9118,21.8228,0,0,0.0
1.1553,35,23.9334,20.8913,0,0,0.0
1.1788,36,23.3585,21.4055,0,0,0.0
1.2023,37,23.2609,21.4953,0,0,0.0
1.2264,38,23.8615,20.9543,0,0,0.0
1.2502,39,23.6472,21.1442,0,0,0.0
1.2742,40,23.7398,21.0617,0,0,0.0
1.2979,41,23.4921,21.2837,0,0,0.0
1.3216,42,23.5219,21.2568,0,0,0.0
1.3458,43,23.7847,21.0219,0,0,0.0
1.3694,44,23.358,21.4059,0,0,0.0
1.393,45,23.3785,21.3872,0,0,0.0
1.4169,46,23.6979,21.0989,0,0,0.0
1.4408,47,23.659,21.1336,0,0,0.0
1.4643,48,23.296,21.463,0,0,0.0
1.4884,49,23.6822,21.1129,0,0,0.0
1.5125,50,23.8834,20.935,0,0,0.0
1.5365,51,23.7576,21.0459,0,0,0.0
1.5602,52,23.408,21.3602,0,0,0.0
1.5835,53,23.0844,21.6597,0,0,0.0
1.608,54,24.068,20.7744,0,0,0.0
1.6321,55,23.9422,20.8836,0,0,0.0
1.6558,56,23.5202,21.2584,0,0,0.0
1.6795,57,23.2831,21.4748,0,0,0.0
1.7031,58,23.1585,21.5903,0,0,0.0
1.7267,59,23.3394,21.423,0,0,0.0
1.7502,60,23.3726,21.3926,0,0,0.0
1.7747,61,23.9802,20.8505,0,0,0.0
1.7988,62,23.9881,20.8436,0,0,0.0
1.8225,63,23.4412,21.33,0,0,0.0
1.8463,64,23.6022,21.1845,0,0,0.0
1.8698,65,23.239,21.5156,0,0,0.0
1.8935,66,23.2708,21.4862,0,0,0.0
1.9174,67,23.7171,21.0819,0,0,0.0
1.9413,68,23.6617,21.1312,0,0,0.0
1.9656,69,24.0639,20.778,0,0,0.0
1.9897,70,23.8403,20.9729,0,0,0.0
2.0135,71,23.6733,21.1208,0,0,0.0
2.0371,72,23.3351,21.427,0,0,0.0
2.0611,73,23.7947,21.0131,0,0,0.0
2.0842,74,22.8608,21.8715,0,0,0.0
