step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,62.0095,16.1266,31.2452,1777468724.357
1,61.2523,16.3259,31.6315,1777468724.419
2,61.12,16.3613,31.6999,1777468724.48
3,61.2511,16.3262,31.6321,1777468724.541
4,62.1634,16.0866,31.1679,1777468724.603
5,60.6786,16.4803,31.9306,1777468724.664
6,62.3131,16.048,31.093,1777468724.726
7,61.7828,16.1857,31.3599,1777468724.788
8,60.6287,16.4938,31.9568,1777468724.849
9,61.849,16.1684,31.3263,1777468724.911
10,62.4586,16.0106,31.0206,1777468724.973
11,61.7777,16.1871,31.3625,1777468725.035
12,61.8022,16.1807,31.35,1777468725.097
13,61.8503,16.1681,31.3256,1777468725.159
14,63.3967,15.7737,30.5615,1777468725.222
15,61.0277,16.386,31.7479,1777468725.283
16,61.4325,16.278,31.5387,1777468725.345
17,61.4126,16.2833,31.5489,1777468725.406
18,61.612,16.2306,31.4468,1777468725.468
19,62.8793,15.9035,30.813,1777468725.531
20,60.7703,16.4554,31.8823,1777468725.591
21,60.9202,16.4149,31.8039,1777468725.652
22,62.128,16.0958,31.1856,1777468725.715
23,61.7611,16.1914,31.3709,1777468725.776
24,61.8257,16.1745,31.3381,1777468725.838
25,60.9955,16.3947,31.7647,1777468725.899
26,61.806,16.1797,31.3481,1777468725.961
27,62.7103,15.9463,30.896,1777468726.024
28,61.0348,16.3841,31.7442,1777468726.085
29,61.1955,16.3411,31.6608,1777468726.146
30,60.8013,16.447,31.8661,1777468726.207
31,62.8015,15.9232,30.8512,1777468726.27
32,63.0202,15.8679,30.7441,1777468726.333
33,60.9159,16.4161,31.8061,1777468726.394
34,60.1915,16.6136,32.1889,1777468726.454
35,62.5846,15.9784,30.9581,1777468726.517
36,61.7494,16.1945,31.3768,1777468726.579
37,63.2809,15.8026,30.6175,1777468726.642
38,63.2074,15.8209,30.6531,1777468726.705
39,61.4254,16.2799,31.5423,1777468726.767
40,60.5066,16.5271,32.0213,1777468726.827
41,63.8779,15.6549,30.3313,1777468726.891
42,61.5064,16.2585,31.5008,1777468726.953
43,61.1055,16.3651,31.7075,1777468727.014
44,60.9258,16.4134,31.801,1777468727.075
45,62.2968,16.0522,31.1011,1777468727.137
46,63.29,15.8003,30.6131,1777468727.201
47,60.8562,16.4322,31.8373,1777468727.262
48,60.5697,16.5099,31.9879,1777468727.322
49,62.2743,16.058,31.1124,1777468727.385
50,62.271,16.0588,31.114,1777468727.447
51,62.0988,16.1034,31.2003,1777468727.509
52,61.3748,16.2933,31.5683,1777468727.57
53,60.5669,16.5107,31.9894,1777468727.631
54,63.0247,15.8668,30.7419,1777468727.694
55,63.2284,15.8157,30.6429,1777468727.757
56,62.1709,16.0847,31.1641,1777468727.819
57,61.705,16.2061,31.3994,1777468727.881
58,62.0054,16.1276,31.2473,1777468727.943
59,62.2508,16.064,31.1241,1777468728.006
60,60.3459,16.5711,32.1066,1777468728.066
61,61.2825,16.3179,31.6159,1777468728.127
62,61.9349,16.146,31.2828,1777468728.189
63,63.1688,15.8306,30.6718,1777468728.252
64,60.8127,16.4439,31.8601,1777468728.313
65,60.5331,16.5199,32.0073,1777468728.374
66,63.355,15.7841,30.5816,1777468728.437
67,61.7292,16.1998,31.3871,1777468728.499
68,61.3857,16.2904,31.5627,1777468728.56
69,62.5739,15.9811,30.9634,1777468728.623
70,61.2432,16.3283,31.6361,1777468728.684
71,61.2173,16.3352,31.6495,1777468728.746
72,61.8751,16.1616,31.3131,1777468728.807
73,61.7915,16.1835,31.3555,1777468728.869
74,61.4804,16.2654,31.5141,1777468728.931
75,62.5833,15.9787,30.9587,1777468728.993
76,61.9808,16.134,31.2597,1777468729.055
77,61.7695,16.1892,31.3666,1777468729.117
78,60.6768,16.4808,31.9315,1777468729.178
79,62.3153,16.0474,31.0919,1777468729.24
80,61.7705,16.189,31.3661,1777468729.302
81,60.5891,16.5046,31.9777,1777468729.363
82,61.0551,16.3787,31.7336,1777468729.424
83,62.6064,15.9728,30.9473,1777468729.486
84,62.428,16.0185,31.0358,1777468729.549
85,61.275,16.3199,31.6197,1777468729.61
86,61.6325,16.2252,31.4363,1777468729.672
87,62.0057,16.1275,31.2471,1777468729.734
88,60.9747,16.4002,31.7755,1777468729.795
89,61.3633,16.2964,31.5742,1777468729.856
90,60.7022,16.4739,31.9181,1777468729.917
91,62.435,16.0166,31.0323,1777468729.98
92,63.3484,15.7857,30.5848,1777468730.043
93,60.9266,16.4132,31.8005,1777468730.104
94,61.7364,16.1979,31.3835,1777468730.166
95,61.259,16.3241,31.628,1777468730.227
96,62.2633,16.0608,31.1179,1777468730.289
97,60.8562,16.4322,31.8374,1777468730.35
98,61.2018,16.3394,31.6576,1777468730.411
99,61.7571,16.1925,31.3729,1777468730.473
