step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
5,4.4666,21.1302,18.4889,1777503689.773,5.5,0
5,23.1043,4.085,3.5743,1777503689.816,5.5,0
5,18.7923,5.0223,4.3945,1777503689.854,5.5,0
5,17.018,5.5459,4.8527,1777503689.884,5.5,0
5,19.9863,4.7222,4.132,1777503689.928,5.5,0
5,17.271,5.4646,4.7816,1777503689.968,5.5,0
5,22.1432,4.2623,3.7295,1777503690.004,5.5,0
5,24.01,3.9309,3.4395,1777503690.064,5.5,0
5,14.8258,6.3659,5.5702,1777503690.081,5.5,0
5,165.7645,6.3384,5.5461,1777503690.248,5.5,0
6,21.8166,4.3261,3.7853,1777503690.769,5.5,0
6,13.8818,6.7988,5.949,1777503690.796,5.5,0
6,29.1688,3.2356,2.8312,1777503690.839,5.5,0
6,15.1858,6.215,5.4382,1777503690.891,5.5,0
6,19.3367,4.8809,4.2708,1777503690.924,5.5,0
6,24.4378,3.8621,3.3793,1777503690.965,5.5,0
6,23.8548,3.9564,3.4619,1777503691.02,5.5,0
6,18.2935,5.1592,4.5143,1777503691.059,5.5,0
6,26.6018,3.5479,3.1044,1777503691.099,5.5,0
6,14.2121,6.6408,5.8107,1777503691.128,5.5,0
6,18.8929,4.9955,4.3711,1777503691.16,5.5,0
6,19.7991,4.7669,4.171,1777503691.203,5.5,0
6,20.7678,4.5445,3.9765,1777503691.248,5.5,0
6,12.8929,7.3203,6.4053,1777503691.281,5.5,0
6,16.5,5.72,5.005,1777503691.324,5.5,0
6,9.8855,9.5473,8.3539,1777503691.336,5.5,0
6,129.6407,8.1045,7.0915,1777503691.468,5.5,0
7,18.1036,5.2133,4.5617,1777503692.105,5.5,0
7,19.9682,4.7265,4.1357,1777503692.156,5.5,0
7,15.9657,5.9114,5.1725,1777503692.184,5.5,0
7,25.2314,3.7406,3.273,1777503692.228,5.5,0
7,26.3742,3.5785,3.1312,1777503692.267,5.5,0
7,19.5637,4.8242,4.2212,1777503692.298,5.5,0
7,27.1004,3.4826,3.0473,1777503692.347,5.5,0
7,3.8703,24.3855,21.3373,1777503692.367,5.5,0
7,19.6961,4.7918,4.1928,1777503692.412,5.5,0
7,7.2766,12.9703,11.349,1777503692.43,5.5,0
7,19.1757,4.9219,4.3066,1777503692.467,5.5,0
7,19.7203,4.7859,4.1877,1777503692.512,5.5,0
7,20.1576,4.6821,4.0968,1777503692.556,5.5,0
7,13.7675,6.8553,5.9984,1777503692.584,5.5,0
7,12.5275,7.5339,6.5921,1777503692.617,5.5,0
7,20.1392,4.6864,4.1006,1777503692.639,5.5,0
7,152.0257,6.9112,6.0473,1777503692.793,5.5,0
8,29.9819,3.1479,2.7544,1777503693.41,5.5,0
8,19.8198,4.7619,4.1667,1777503693.441,5.5,0
8,14.3844,6.5613,5.7411,1777503693.466,5.5,0
8,20.1449,4.6851,4.0994,1777503693.528,5.5,0
8,18.0114,5.24,4.585,1777503693.566,5.5,0
8,33.6562,2.8042,2.4537,1777503693.614,5.5,0
8,27.0044,3.495,3.0581,1777503693.668,5.5,0
8,20.8588,4.5247,3.9591,1777503693.701,5.5,0
8,23.3262,4.0461,3.5403,1777503693.74,5.5,0
8,8.3124,11.3541,9.9348,1777503693.776,5.5,0
8,13.9438,6.7686,5.9225,1777503693.803,5.5,0
8,3.4795,27.1244,23.7339,1777503693.812,5.5,0
8,14.6114,6.4594,5.6519,1777503693.84,5.5,0
8,34.4427,2.7402,2.3977,1777503693.892,5.5,0
8,10.2091,9.2447,8.0891,1777503693.932,5.5,0
8,14.363,6.571,5.7497,1777503693.948,5.5,0
8,140.9505,7.4542,6.5225,1777503694.091,5.5,0
9,30.02,3.1439,2.7509,1777503694.772,5.5,0
