step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
24,3,baseline,26.6779,25.6752,25.6752,0.0,0.026704
25,0,baseline,21.1165,26.5095,21.1165,0.0,0.026605
25,1,baseline,25.8469,26.2177,25.8469,0.0,0.026315
25,2,baseline,25.4451,26.0479,25.4451,0.0,0.026145
25,3,baseline,26.1587,25.5595,25.5595,0.0,0.026184
26,0,baseline,20.7457,26.4567,20.7457,0.0,0.026561
26,1,baseline,25.9692,26.3615,25.9692,0.0,0.026463
26,2,baseline,26.1341,26.2524,26.1341,0.0,0.026364
26,3,baseline,25.6499,25.858,25.6499,0.0,0.025954
27,0,baseline,20.1736,26.5531,20.1736,0.0,0.02665
27,1,baseline,25.2137,26.5517,25.2137,0.0,0.026649
27,2,baseline,25.2033,26.1924,25.2033,0.0,0.026292
27,3,baseline,26.2969,26.0321,26.0321,0.0,0.026322
28,0,baseline,21.0375,26.5067,21.0375,0.0,0.026602
28,1,baseline,26.5468,26.534,26.534,0.0,0.026643
28,2,baseline,27.1741,26.0538,26.0538,0.0,0.027201
28,3,baseline,27.7618,25.4295,25.4295,0.0,0.027788
29,0,baseline,21.3617,26.3449,21.3617,0.0,0.026457
29,1,baseline,26.4138,26.4669,26.4138,0.0,0.026587
29,2,baseline,26.4927,26.3409,26.3409,0.0,0.026515
29,3,baseline,26.6883,25.7305,25.7305,0.0,0.026715
30,0,baseline,20.801,26.458,20.801,0.0,0.02656
30,1,baseline,25.771,26.3977,25.771,0.0,0.026491
30,2,baseline,25.9834,26.2087,25.9834,0.0,0.026303
30,3,baseline,25.7721,26.0819,25.7721,0.0,0.026194
31,0,baseline,21.5332,26.3456,21.5332,0.0,0.026441
31,1,baseline,26.6514,25.9279,25.9279,0.0,0.026679
31,2,baseline,27.0139,26.0593,26.0593,0.0,0.02704
31,3,baseline,26.7284,25.3995,25.3995,0.0,0.026755
32,0,baseline,21.2556,26.424,21.2556,0.0,0.026528
32,1,baseline,26.2189,26.1489,26.1489,0.0,0.026259
32,2,baseline,26.2341,26.0392,26.0392,0.0,0.02626
32,3,baseline,26.1767,25.807,25.807,0.0,0.02621
33,0,baseline,21.4597,26.2428,21.4597,0.0,0.026349
33,1,baseline,26.6913,25.8317,25.8317,0.0,0.026716
33,2,baseline,26.714,25.8786,25.8786,0.0,0.026739
33,3,baseline,27.0839,24.9907,24.9907,0.0,0.027112
34,0,baseline,21.6925,26.1474,21.6925,0.0,0.026255
34,1,baseline,26.2739,26.2218,26.2218,0.0,0.026356
34,2,baseline,26.2536,25.9375,25.9375,0.0,0.026279
34,3,baseline,26.3948,25.6031,25.6031,0.0,0.026422
35,0,baseline,21.5817,26.267,21.5817,0.0,0.026378
35,1,baseline,26.1038,26.168,26.1038,0.0,0.026283
35,2,baseline,25.9138,25.9321,25.9138,0.0,0.026041
35,3,baseline,26.1188,25.7101,25.7101,0.0,0.026147
36,0,baseline,21.6594,26.2073,21.6594,0.0,0.026311
36,1,baseline,26.3894,25.8014,25.8014,0.0,0.026417
36,2,baseline,26.7791,25.6931,25.6931,0.0,0.026806
36,3,baseline,26.3766,25.3263,25.3263,0.0,0.026414
37,0,baseline,20.8954,26.4888,20.8954,0.0,0.026602
37,1,baseline,25.5736,26.3517,25.5736,0.0,0.026458
37,2,baseline,25.4903,26.1923,25.4903,0.0,0.026302
37,3,baseline,25.702,26.0727,25.702,0.0,0.026214
38,0,baseline,21.4555,26.3718,21.4555,0.0,0.026478
38,1,baseline,26.3122,26.1276,26.1276,0.0,0.02634
38,2,baseline,26.3762,26.1826,26.1826,0.0,0.026402
38,3,baseline,26.4744,25.3722,25.3722,0.0,0.026501
39,0,baseline,21.4556,26.24,21.4556,0.0,0.026346
39,1,baseline,26.5111,25.7855,25.7855,0.0,0.026538
39,2,baseline,26.5336,25.5779,25.5779,0.0,0.02656
39,3,baseline,26.4268,25.6234,25.6234,0.0,0.026455
40,0,baseline,21.348,26.3191,21.348,0.0,0.026421
40,1,baseline,26.073,26.2256,26.073,0.0,0.026327
40,2,baseline,25.7627,26.1547,25.7627,0.0,0.026261
40,3,baseline,26.3372,25.6098,25.6098,0.0,0.026365
41,0,baseline,21.1183,26.5654,21.1183,0.0,0.026666
41,1,baseline,25.7235,26.4418,25.7235,0.0,0.026548
41,2,baseline,25.8075,26.1722,25.8075,0.0,0.026282
41,3,baseline,26.0104,26.0756,26.0104,0.0,0.02627
42,0,baseline,21.5978,26.5109,21.5978,0.0,0.026626
42,1,baseline,26.5524,26.3014,26.3014,0.0,0.02658
42,2,baseline,26.802,26.266,26.266,0.0,0.026828
42,3,baseline,26.8567,25.1849,25.1849,0.0,0.026883
43,0,baseline,21.7183,26.3521,21.7183,0.0,0.026459
43,1,baseline,26.4737,26.0964,26.0964,0.0,0.026503
43,2,baseline,26.4286,25.8548,25.8548,0.0,0.026455
43,3,baseline,26.7155,25.3347,25.3347,0.0,0.026745
44,0,baseline,21.8317,26.3063,21.8317,0.0,0.026465
44,1,baseline,26.5448,25.9584,25.9584,0.0,0.026571
44,2,baseline,26.5584,26.415,26.415,0.0,0.026588
44,3,baseline,26.5845,25.3773,25.3773,0.0,0.026618
45,0,baseline,21.7128,26.0951,21.7128,0.0,0.026216
45,1,baseline,26.4763,26.2132,26.2132,0.0,0.026502
45,2,baseline,26.5562,25.979,25.979,0.0,0.026582
45,3,baseline,26.1543,25.7891,25.7891,0.0,0.026184
46,0,baseline,21.5174,26.2822,21.5174,0.0,0.026393
46,1,baseline,26.2178,25.9779,25.9779,0.0,0.026245
46,2,baseline,26.1976,26.0649,26.0649,0.0,0.026223
46,3,baseline,26.1457,25.5318,25.5318,0.0,0.026175
47,0,baseline,21.5578,26.2495,21.5578,0.0,0.026356
47,1,baseline,26.4223,26.1347,26.1347,0.0,0.026448
47,2,baseline,26.492,26.0005,26.0005,0.0,0.026517
47,3,baseline,26.3653,25.6552,25.6552,0.0,0.026393
48,0,baseline,21.4775,26.3215,21.4775,0.0,0.026429
48,1,baseline,26.1995,26.1476,26.1476,0.0,0.026249
48,2,baseline,26.2339,26.0657,26.0657,0.0,0.026259
48,3,baseline,26.1204,25.7515,25.7515,0.0,0.026148
49,0,baseline,21.2932,26.2956,21.2932,0.0,0.0264
49,1,baseline,26.1344,25.9917,25.9917,0.0,0.026159
49,2,baseline,26.1863,25.9989,25.9989,0.0,0.026212
49,3,baseline,26.1308,25.6506,25.6506,0.0,0.026156
50,0,baseline,21.3973,26.1078,21.3973,0.0,0.026219
50,1,baseline,26.4536,26.198,26.198,0.0,0.026481
50,2,baseline,26.3205,25.665,25.665,0.0,0.026347
50,3,baseline,26.8113,25.7275,25.7275,0.0,0.02684
51,0,baseline,21.9677,26.1048,21.9677,0.0,0.026211
51,1,baseline,26.6892,25.9816,25.9816,0.0,0.026715
51,2,baseline,26.7844,25.8449,25.8449,0.0,0.02681
51,3,baseline,26.3033,25.63,25.63,0.0,0.02633
52,0,baseline,21.9387,26.1773,21.9387,0.0,0.026286
52,1,baseline,26.3528,26.1945,26.1945,0.0,0.026377
52,2,baseline,26.0729,25.9209,25.9209,0.0,0.026098
52,3,baseline,26.4729,25.5661,25.5661,0.0,0.026501
53,0,baseline,22.7474,26.4515,22.7474,0.0,0.026579
53,1,baseline,26.9526,25.8643,25.8643,0.0,0.026977
53,2,baseline,27.1437,26.0505,26.0505,0.0,0.02717
53,3,baseline,27.2811,25.2257,25.2257,0.0,0.027316
54,0,baseline,22.3864,26.0476,22.3864,0.0,0.026165
54,1,baseline,26.1959,25.9891,25.9891,0.0,0.026223
54,2,baseline,26.2131,25.8287,25.8287,0.0,0.026242
54,3,baseline,25.3878,25.8114,25.3878,0.0,0.026013
55,0,baseline,21.809,26.2867,21.809,0.0,0.0264
55,1,baseline,25.331,26.0124,25.331,0.0,0.026125
55,2,baseline,25.1512,25.9816,25.1512,0.0,0.026098
55,3,baseline,25.6556,25.5888,25.5888,0.0,0.025712
56,0,baseline,21.8049,26.2357,21.8049,0.0,0.026345
56,1,baseline,25.9863,26.1106,25.9863,0.0,0.026215
56,2,baseline,25.8372,25.6641,25.6641,0.0,0.025865
56,3,baseline,26.3215,25.614,25.614,0.0,0.02635
57,0,baseline,23.3869,26.3376,23.3869,0.0,0.026444
57,1,baseline,27.334,25.5874,25.5874,0.0,0.027363
57,2,baseline,27.7049,25.7075,25.7075,0.0,0.027902
57,3,baseline,27.3553,24.99,24.99,0.0,0.027389
58,0,baseline,21.6003,26.4765,21.6003,0.0,0.026695
58,1,baseline,24.6938,26.0579,24.6938,0.0,0.026171
58,2,baseline,24.2392,26.2462,24.2392,0.0,0.02669
58,3,baseline,24.88,25.5436,24.88,0.0,0.025653
59,0,baseline,23.4556,26.6088,23.4556,0.0,0.027224
59,1,baseline,27.0962,25.5015,25.5015,0.0,0.02735
59,2,baseline,26.5181,25.9926,25.9926,0.0,0.026545
59,3,baseline,28.4977,25.23,25.23,0.0,0.028626
60,0,baseline,21.6287,26.4609,21.6287,0.0,0.026574
60,1,baseline,24.7146,26.2578,24.7146,0.0,0.026934
60,2,baseline,24.9441,25.8692,24.9441,0.0,0.025985
60,3,baseline,24.7317,25.7223,24.7317,0.0,0.026124
61,0,baseline,21.3427,26.3521,21.3427,0.0,0.026475
61,1,baseline,24.2563,26.2976,24.2563,0.0,0.026418
61,2,baseline,25.2533,25.8483,25.2533,0.0,0.02597
61,3,baseline,24.65,25.6392,24.65,0.0,0.025911
62,0,baseline,21.264,26.2854,21.264,0.0,0.026391
62,1,baseline,24.7223,26.3833,24.7223,0.0,0.026497
62,2,baseline,26.2631,25.9304,25.9304,0.0,0.026289
62,3,baseline,25.6745,25.8432,25.6745,0.0,0.026067
63,0,baseline,21.6513,26.28,21.6513,0.0,0.026389
63,1,baseline,24.8669,26.1012,24.8669,0.0,0.026213
63,2,baseline,26.6162,25.8065,25.8065,0.0,0.026641
63,3,baseline,26.081,25.6604,25.6604,0.0,0.026109
64,0,baseline,21.343,26.4194,21.343,0.0,0.026533
64,1,baseline,24.6623,26.158,24.6623,0.0,0.026266
64,2,baseline,25.5683,25.9005,25.5683,0.0,0.026007
64,3,baseline,26.0846,25.7526,25.7526,0.0,0.026113
65,0,baseline,21.4118,26.2031,21.4118,0.0,0.02631
65,1,baseline,25.0146,26.2016,25.0146,0.0,0.026313
65,2,baseline,26.7629,25.8895,25.8895,0.0,0.026791
65,3,baseline,27.1742,25.6173,25.6173,0.0,0.027205
66,0,baseline,21.6146,26.2516,21.6146,0.0,0.026357
66,1,baseline,25.0574,26.0234,25.0574,0.0,0.026145
