step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
25,2,tempo,11.9161,20.3953,0.0,0.0,0.032345
25,3,tempo,12.3359,20.3755,0.0,0.0,0.032799
26,0,tempo,12.068,20.3902,0.0,0.0,0.032493
26,1,tempo,12.1997,20.3755,0.0,0.0,0.03261
26,2,tempo,12.1874,20.4633,0.0,0.0,0.032678
26,3,tempo,11.6591,20.4041,0.0,0.0,0.032115
27,0,tempo,12.5299,20.3909,0.0,0.0,0.03295
27,1,tempo,12.554,20.3755,0.0,0.0,0.032964
27,2,tempo,12.4616,20.3754,0.0,0.0,0.032873
27,3,tempo,12.2844,20.3868,0.0,0.0,0.032705
28,0,tempo,12.3533,20.3757,0.0,0.0,0.032765
28,1,tempo,11.6585,20.3856,0.0,0.0,0.032078
28,2,tempo,11.682,20.4119,0.0,0.0,0.032125
28,3,tempo,12.6747,20.3754,0.0,0.0,0.033084
29,0,tempo,12.9696,20.3755,0.0,0.0,0.033382
29,1,tempo,13.4942,20.3754,0.0,0.0,0.033905
29,2,tempo,12.9951,20.39,0.0,0.0,0.033419
29,3,tempo,12.8306,20.3777,0.0,0.0,0.033243
30,0,tempo,12.9613,20.3754,0.0,0.0,0.033397
30,1,tempo,12.9577,20.3754,0.0,0.0,0.033362
30,2,tempo,12.9987,20.3758,0.0,0.0,0.033411
30,3,tempo,12.8428,20.3884,0.0,0.0,0.033269
31,0,tempo,12.8779,20.3915,0.0,0.0,0.03331
31,1,tempo,13.1348,20.3838,0.0,0.0,0.033549
31,2,tempo,13.5478,20.396,0.0,0.0,0.033977
31,3,tempo,12.8749,20.3779,0.0,0.0,0.033291
32,0,tempo,12.3485,20.3759,0.0,0.0,0.032757
32,1,tempo,11.3679,20.3884,0.0,0.0,0.031791
32,2,tempo,11.6346,20.3873,0.0,0.0,0.032051
32,3,tempo,12.646,20.3756,0.0,0.0,0.033055
33,0,tempo,13.4193,20.3837,0.0,0.0,0.033836
33,1,tempo,14.3764,20.3756,0.0,0.0,0.034786
33,2,tempo,14.0898,20.3754,0.0,0.0,0.034501
33,3,tempo,13.1369,20.3893,0.0,0.0,0.033619
34,0,tempo,13.6614,20.3756,0.0,0.0,0.034072
34,1,tempo,13.1418,20.3834,0.0,0.0,0.033629
34,2,tempo,13.3522,20.3966,0.0,0.0,0.033784
34,3,tempo,13.9204,20.3756,0.0,0.0,0.034329
35,0,tempo,11.3426,20.42,0.0,0.0,0.031794
35,1,tempo,12.0053,20.3876,0.0,0.0,0.03243
35,2,tempo,11.9798,20.3755,0.0,0.0,0.032389
35,3,tempo,11.6038,20.3759,0.0,0.0,0.032019
36,0,tempo,11.8786,20.4103,0.0,0.0,0.032324
36,1,tempo,11.6925,20.3754,0.0,0.0,0.032098
36,2,tempo,11.5894,20.3758,0.0,0.0,0.032001
36,3,tempo,11.6098,20.392,0.0,0.0,0.032037
37,0,tempo,12.4591,20.408,0.0,0.0,0.032897
37,1,tempo,12.2196,20.4474,0.0,0.0,0.032702
37,2,tempo,11.8843,20.4064,0.0,0.0,0.03232
37,3,tempo,12.4092,20.3759,0.0,0.0,0.032818
38,0,tempo,11.6856,20.3756,0.0,0.0,0.03209
38,1,tempo,11.8158,20.3754,0.0,0.0,0.03222
38,2,tempo,12.1822,20.4228,0.0,0.0,0.032815
38,3,tempo,11.682,20.434,0.0,0.0,0.032151
39,0,tempo,14.3129,20.3758,0.0,0.0,0.034718
39,1,tempo,14.2674,20.3754,0.0,0.0,0.034671
39,2,tempo,13.3537,20.4065,0.0,0.0,0.033808
39,3,tempo,14.2703,20.387,0.0,0.0,0.034686
40,0,tempo,12.6331,20.392,0.0,0.0,0.03306
40,1,tempo,12.5425,20.3856,0.0,0.0,0.032957
40,2,tempo,12.71,20.4168,0.0,0.0,0.033158
40,3,tempo,12.7173,20.3755,0.0,0.0,0.033135
41,0,tempo,11.475,20.4234,0.0,0.0,0.031934
41,1,tempo,11.7421,20.3966,0.0,0.0,0.032181
41,2,tempo,12.2705,20.3755,0.0,0.0,0.03268
41,3,tempo,11.675,20.3778,0.0,0.0,0.032095
42,0,tempo,12.2938,20.3757,0.0,0.0,0.032704
42,1,tempo,12.0813,20.3754,0.0,0.0,0.032488
42,2,tempo,11.8014,20.3755,0.0,0.0,0.032209
42,3,tempo,11.9861,20.3889,0.0,0.0,0.03241
43,0,tempo,11.6782,20.397,0.0,0.0,0.03228
43,1,tempo,11.7053,20.3901,0.0,0.0,0.032124
43,2,tempo,11.9718,20.3991,0.0,0.0,0.032403
43,3,tempo,12.0242,20.3755,0.0,0.0,0.032747
44,0,tempo,13.6416,20.3759,0.0,0.0,0.034067
44,1,tempo,13.9459,20.3757,0.0,0.0,0.034442
44,2,tempo,13.5107,20.3781,0.0,0.0,0.033918
44,3,tempo,13.1266,20.3755,0.0,0.0,0.033552
45,0,tempo,11.8413,20.3759,0.0,0.0,0.032251
45,1,tempo,11.5646,20.4015,0.0,0.0,0.032
45,2,tempo,12.3623,20.3755,0.0,0.0,0.032769
45,3,tempo,12.2198,20.3887,0.0,0.0,0.032649
46,0,tempo,12.1076,20.3976,0.0,0.0,0.032537
46,1,tempo,12.2545,20.386,0.0,0.0,0.032687
46,2,tempo,11.5537,20.3997,0.0,0.0,0.03199
46,3,tempo,11.5719,20.3768,0.0,0.0,0.031989
47,0,tempo,12.163,20.3755,0.0,0.0,0.032575
47,1,tempo,11.6832,20.3879,0.0,0.0,0.032109
47,2,tempo,12.3084,20.3808,0.0,0.0,0.032717
47,3,tempo,12.4119,20.3755,0.0,0.0,0.032821
48,0,tempo,12.2199,20.4282,0.0,0.0,0.032808
48,1,tempo,12.6396,20.3941,0.0,0.0,0.033074
48,2,tempo,12.7503,20.3754,0.0,0.0,0.033156
48,3,tempo,12.6239,20.3872,0.0,0.0,0.033046
49,0,tempo,12.2013,20.4127,0.0,0.0,0.03265
49,1,tempo,12.562,20.4358,0.0,0.0,0.033375
49,2,tempo,12.1053,20.4283,0.0,0.0,0.032569
49,3,tempo,11.6835,20.3763,0.0,0.0,0.032095
50,0,tempo,14.3455,20.3755,0.0,0.0,0.03475
50,1,tempo,13.6434,20.3963,0.0,0.0,0.034105
50,2,tempo,14.7616,20.3757,0.0,0.0,0.035179
50,3,tempo,15.2169,20.4276,0.0,0.0,0.035681
51,0,tempo,12.4355,20.3756,0.0,0.0,0.032847
51,1,tempo,12.3043,20.3756,0.0,0.0,0.032722
51,2,tempo,11.7884,20.3807,0.0,0.0,0.032204
51,3,tempo,11.7273,20.3972,0.0,0.0,0.032165
52,0,tempo,12.3849,20.3984,0.0,0.0,0.032817
52,1,tempo,11.9675,20.3926,0.0,0.0,0.032397
52,2,tempo,12.348,20.4198,0.0,0.0,0.032798
52,3,tempo,12.5676,20.3756,0.0,0.0,0.032981
53,0,tempo,12.7763,20.3755,0.0,0.0,0.03319
53,1,tempo,12.6882,20.3806,0.0,0.0,0.033115
53,2,tempo,12.8137,20.3912,0.0,0.0,0.033235
53,3,tempo,12.7097,20.3758,0.0,0.0,0.03314
54,0,tempo,12.8703,20.3757,0.0,0.0,0.033277
54,1,tempo,13.0655,20.3754,0.0,0.0,0.03369
54,2,tempo,12.8231,20.3897,0.0,0.0,0.033249
54,3,tempo,12.8215,20.3872,0.0,0.0,0.033558
55,0,tempo,12.1374,20.3985,0.0,0.0,0.032648
55,1,tempo,11.7527,20.3869,0.0,0.0,0.032195
55,2,tempo,12.024,20.418,0.0,0.0,0.032472
55,3,tempo,11.5599,20.3756,0.0,0.0,0.031987
56,0,tempo,12.967,20.3793,0.0,0.0,0.033389
56,1,tempo,13.5378,20.3755,0.0,0.0,0.033943
56,2,tempo,13.75,20.3754,0.0,0.0,0.034158
56,3,tempo,13.1188,20.3759,0.0,0.0,0.033531
57,0,tempo,11.4093,20.3757,0.0,0.0,0.031817
57,1,tempo,11.2107,20.3964,0.0,0.0,0.031638
57,2,tempo,11.5991,20.3768,0.0,0.0,0.032006
57,3,tempo,12.0752,20.388,0.0,0.0,0.032503
58,0,tempo,12.3339,20.4299,0.0,0.0,0.032795
58,1,tempo,12.6893,20.3869,0.0,0.0,0.033113
58,2,tempo,12.3791,20.3996,0.0,0.0,0.032809
58,3,tempo,12.2792,20.3756,0.0,0.0,0.032692
59,0,tempo,12.1393,20.394,0.0,0.0,0.032564
59,1,tempo,12.1138,20.3754,0.0,0.0,0.032521
59,2,tempo,12.0452,20.3755,0.0,0.0,0.032448
59,3,tempo,11.5298,20.376,0.0,0.0,0.03194
60,0,tempo,12.0765,20.4565,0.0,0.0,0.032566
60,1,tempo,11.4329,20.4096,0.0,0.0,0.031873
60,2,tempo,11.746,20.3828,0.0,0.0,0.032161
60,3,tempo,12.4575,20.3873,0.0,0.0,0.032878
61,0,tempo,12.2239,20.3995,0.0,0.0,0.032658
61,1,tempo,12.6896,20.4048,0.0,0.0,0.03313
61,2,tempo,12.7934,20.504,0.0,0.0,0.033331
61,3,tempo,12.693,20.3756,0.0,0.0,0.033099
62,0,tempo,12.3691,20.3845,0.0,0.0,0.032789
62,1,tempo,12.5586,20.3756,0.0,0.0,0.032971
62,2,tempo,12.0955,20.3756,0.0,0.0,0.0325
62,3,tempo,12.0146,20.3967,0.0,0.0,0.032454
63,0,tempo,12.1507,20.3755,0.0,0.0,0.032557
63,1,tempo,11.9657,20.3754,0.0,0.0,0.032374
63,2,tempo,11.7713,20.3756,0.0,0.0,0.032179
63,3,tempo,11.943,20.3791,0.0,0.0,0.032359
64,0,tempo,12.6222,20.3987,0.0,0.0,0.033051
64,1,tempo,11.9705,20.4055,0.0,0.0,0.032412
64,2,tempo,12.4482,20.4024,0.0,0.0,0.032879
64,3,tempo,12.6685,20.3756,0.0,0.0,0.03308
65,0,tempo,12.9372,20.3756,0.0,0.0,0.033347
65,1,tempo,13.3067,20.3754,0.0,0.0,0.033715
65,2,tempo,12.9907,20.3827,0.0,0.0,0.033407
65,3,tempo,12.8686,20.3755,0.0,0.0,0.033287
66,0,tempo,12.888,20.3756,0.0,0.0,0.033298
66,1,tempo,12.9156,20.3823,0.0,0.0,0.033333
66,2,tempo,13.0009,20.3831,0.0,0.0,0.033412
66,3,tempo,12.8784,20.3788,0.0,0.0,0.033289
67,0,tempo,13.3279,20.419,0.0,0.0,0.033779
67,1,tempo,13.8219,20.3873,0.0,0.0,0.034242
67,2,tempo,13.758,20.3949,0.0,0.0,0.034189
67,3,tempo,13.0709,20.3761,0.0,0.0,0.033479
68,0,tempo,12.505,20.3913,0.0,0.0,0.032934
