step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,17.1055,6.3996,5.5997,1777503929.754,5.6,256
0,42.2149,2.4046,2.1041,1777503929.812,5.474,256
0,14.1117,6.5349,5.7181,1777503929.843,5.355,256
0,20.0116,5.0112,4.3848,1777503929.89,5.549,256
0,19.6939,5.2854,4.6247,1777503929.936,5.479,256
0,20.3465,4.586,4.0128,1777503929.976,5.517,256
0,20.587,4.9116,4.2977,1777503930.012,5.353,256
0,16.4895,6.0607,5.3031,1777503930.041,5.498,256
0,13.4594,6.4183,5.616,1777503930.091,5.292,256
0,23.5253,3.9681,3.4721,1777503930.13,5.645,256
0,16.2428,6.589,5.7654,1777503930.161,5.536,256
0,10.047,10.8684,9.5098,1777503930.186,5.496,256
0,28.0893,3.6162,3.1642,1777503930.232,5.455,256
0,5.751,15.7356,13.7686,1777503930.25,5.432,256
0,21.0126,3.7512,3.2823,1777503930.288,5.629,256
0,17.758,5.042,4.4117,1777503930.308,5.42,256
0,145.5217,6.5385,5.7212,1777503930.458,5.48,256
1,12.3326,8.7325,7.641,1777503936.12,5.709,256
1,23.3069,3.5114,3.0725,1777503936.184,5.465,256
1,13.1271,6.5948,5.7705,1777503936.224,5.599,256
1,82.4672,1.1707,1.0243,1777503936.378,5.436,256
1,23.5184,4.0363,3.5317,1777503936.436,5.452,256
1,57.3611,1.8578,1.6256,1777503936.542,5.555,256
1,7.7713,12.7955,11.1961,1777503936.604,5.233,256
1,21.5381,4.3586,3.8138,1777503936.684,5.708,256
1,34.3891,3.0357,2.6562,1777503936.773,5.315,256
1,10.3586,8.8828,7.7724,1777503936.857,5.38,256
1,12.3619,8.6799,7.5949,1777503936.922,5.524,256
1,53.5634,1.6538,1.4471,1777503937.015,5.503,256
1,48.2837,1.547,1.3536,1777503937.085,5.392,256
1,22.6835,4.1728,3.6512,1777503937.152,5.585,256
1,25.1523,3.1696,2.7734,1777503937.239,5.462,256
1,17.3534,5.8779,5.1432,1777503937.26,5.355,256
1,172.8321,6.1907,5.4168,1777503937.439,5.507,256
2,9.9928,10.7401,9.3976,1777503938.164,5.477,256
2,21.7406,4.2816,3.7464,1777503938.198,5.585,256
2,15.4888,5.4469,4.766,1777503938.264,5.478,256
2,12.7569,7.1286,6.2376,1777503938.296,5.486,256
2,14.8572,6.7836,5.9357,1777503938.417,5.555,256
2,10.0496,8.8289,7.7253,1777503938.458,5.514,256
2,19.3268,5.4656,4.7824,1777503938.512,5.417,256
2,90.3378,1.0569,0.9248,1777503938.668,5.481,256
2,14.7754,6.3555,5.561,1777503938.72,5.337,256
2,19.6033,5.3579,4.6881,1777503938.773,5.423,256
2,66.355,1.5391,1.3468,1777503938.898,5.438,256
2,14.1321,6.3443,5.5512,1777503938.957,5.621,256
2,30.0511,3.3904,2.9666,1777503939.059,5.521,256
2,39.0586,2.5635,2.2431,1777503939.119,5.471,256
2,12.7757,7.3825,6.4597,1777503939.2,5.434,256
2,40.5862,2.4936,2.1819,1777503939.262,5.431,256
2,195.766,6.0047,5.2541,1777503939.464,5.468,256
3,10.0854,9.3734,8.2018,1777503940.19,5.576,256
3,12.6708,7.4629,6.53,1777503940.255,5.47,256
3,10.5757,8.9029,7.79,1777503940.303,5.589,256
3,19.4974,4.584,4.011,1777503940.364,5.487,256
3,13.705,6.8922,6.0307,1777503940.45,5.586,256
3,22.5234,4.1568,3.6372,1777503940.493,5.681,256
3,17.2298,5.4091,4.733,1777503940.558,5.476,256
3,18.8515,4.938,4.3207,1777503940.644,5.368,256
3,44.7323,1.9349,1.693,1777503940.705,5.447,256
3,23.1184,4.4534,3.8967,1777503940.831,5.497,256
3,34.5376,2.6267,2.2984,1777503940.876,5.623,256
3,34.3248,3.0908,2.7045,1777503940.989,5.626,256
3,33.6323,2.6147,2.2879,1777503941.115,5.45,256
3,19.5612,5.5249,4.8343,1777503941.156,5.524,256
3,17.401,5.3077,4.6443,1777503941.258,5.572,256
3,44.6015,2.2866,2.0008,1777503941.371,5.443,256
3,170.3492,6.276,5.4915,1777503941.547,5.593,256
4,12.995,6.5887,5.7651,1777503942.324,5.501,256
4,21.7326,3.9556,3.4611,1777503942.386,5.402,256
4,79.0316,1.1404,0.9979,1777503942.499,5.548,256
4,30.9113,2.9746,2.6028,1777503942.579,5.435,256
4,23.1153,4.0998,3.5873,1777503942.652,5.385,256
4,54.4314,1.7934,1.5692,1777503942.744,5.613,256
4,50.1281,1.8709,1.637,1777503942.812,5.48,256
4,15.0887,6.4419,5.6367,1777503942.857,5.297,256
4,16.7253,5.8853,5.1496,1777503942.904,5.81,256
4,19.0891,4.8956,4.2837,1777503942.997,5.488,256
4,30.7561,3.2512,2.8448,1777503943.1,5.665,256
4,20.1859,5.0403,4.4102,1777503943.161,5.284,256
4,48.5358,2.0322,1.7782,1777503943.248,5.757,256
4,18.4256,5.3773,4.7051,1777503943.346,5.385,256
4,20.3035,4.7533,4.1591,1777503943.407,5.372,256
4,25.077,4.1348,3.6179,1777503943.435,5.404,256
4,187.818,5.6273,4.9239,1777503943.629,5.414,256
5,18.8314,4.7928,4.1937,1777503944.407,5.649,256
5,23.5728,4.0369,3.5323,1777503944.469,5.444,256
5,19.1882,4.468,3.9095,1777503944.516,5.313,256
5,46.9136,1.8104,1.5841,1777503944.632,5.511,256
5,16.6031,6.1302,5.3639,1777503944.684,5.444,256
5,21.0209,5.054,4.4222,1777503944.752,5.428,256
5,54.5749,1.6965,1.4844,1777503944.856,5.392,256
5,15.6255,6.5189,5.704,1777503944.936,5.71,256
5,47.3069,1.7138,1.4996,1777503945.036,5.465,256
5,17.2183,6.036,5.2815,1777503945.132,5.355,256
5,20.0906,4.9107,4.2968,1777503945.212,5.622,256
5,52.6913,1.8024,1.5771,1777503945.292,5.555,256
5,27.5701,3.9055,3.4173,1777503945.38,5.695,256
5,16.4308,5.7157,5.0012,1777503945.425,5.447,256
5,17.3696,5.0337,4.4045,1777503945.487,5.598,256
5,56.3216,1.4919,1.3054,1777503945.547,5.475,256
5,197.5981,5.3609,4.6908,1777503945.751,5.45,256
6,32.5706,2.9626,2.5923,1777503946.47,5.756,256
6,16.0706,5.8157,5.0888,1777503946.499,5.456,256
6,20.1196,5.072,4.438,1777503946.542,5.524,256
6,15.7347,6.6889,5.8528,1777503946.642,5.516,256
6,41.7107,2.2178,1.9406,1777503946.72,5.322,256
6,19.1891,4.2811,3.746,1777503946.78,5.316,256
6,18.5166,5.2517,4.5953,1777503946.828,5.364,256
6,11.6786,8.8932,7.7816,1777503946.876,5.503,256
6,41.388,2.2359,1.9564,1777503947.009,5.416,256
6,19.2088,5.1579,4.5132,1777503947.072,5.42,256
6,21.2485,4.0916,3.5801,1777503947.115,5.619,256
6,46.6166,2.082,1.8218,1777503947.182,5.477,256
6,18.5214,5.3572,4.6876,1777503947.272,5.501,256
6,20.5214,4.74,4.1475,1777503947.324,5.418,256
6,23.2657,4.7286,4.1375,1777503947.415,5.442,256
6,47.9249,2.2145,1.9376,1777503947.467,5.481,256
6,128.1011,8.7315,7.6401,1777503947.6,5.573,256
7,26.4198,3.9001,3.4126,1777503948.362,5.416,256
7,28.8829,3.5489,3.1053,1777503948.424,5.685,256
7,8.3464,11.0739,9.6897,1777503948.468,5.503,256
7,47.8656,1.8892,1.653,1777503948.583,5.465,256
7,16.8605,6.3641,5.5685,1777503948.632,5.4,256
7,17.2976,5.045,4.4144,1777503948.729,5.661,256
7,45.1979,2.1925,1.9184,1777503948.804,5.712,256
7,42.3695,2.1473,1.8789,1777503948.87,5.513,256
7,15.6877,5.6982,4.9859,1777503948.929,5.514,256
7,15.8955,5.0948,4.458,1777503948.996,5.568,256
7,46.2226,2.0947,1.8328,1777503949.104,5.494,256
7,19.591,4.6671,4.0837,1777503949.18,5.411,256
