step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
25,0,baseline,21.3404,26.194,21.3404,0.0,0.026306
25,1,baseline,26.7458,25.7937,25.7937,0.0,0.026779
25,2,baseline,26.6066,25.8741,25.8741,0.0,0.026705
25,3,baseline,26.7197,25.4411,25.4411,0.0,0.026746
26,0,baseline,21.3672,26.0356,21.3672,0.0,0.026148
26,1,baseline,25.9826,26.0753,25.9826,0.0,0.026213
26,2,baseline,25.445,25.9063,25.445,0.0,0.02602
26,3,baseline,26.0433,25.8539,25.8539,0.0,0.026071
27,0,baseline,21.2688,26.2273,21.2688,0.0,0.026336
27,1,baseline,26.1123,25.7678,25.7678,0.0,0.026142
27,2,baseline,26.296,26.1255,26.1255,0.0,0.026322
27,3,baseline,26.2753,25.6065,25.6065,0.0,0.026301
28,0,baseline,21.6193,26.1071,21.6193,0.0,0.026227
28,1,baseline,26.3988,25.8913,25.8913,0.0,0.026427
28,2,baseline,26.0119,25.8608,25.8608,0.0,0.026039
28,3,baseline,26.3787,25.6701,25.6701,0.0,0.026405
29,0,baseline,22.198,26.072,22.198,0.0,0.026185
29,1,baseline,26.803,25.7187,25.7187,0.0,0.02683
29,2,baseline,27.199,25.6789,25.6789,0.0,0.027225
29,3,baseline,26.4686,25.3172,25.3172,0.0,0.026493
30,0,baseline,21.5727,26.1948,21.5727,0.0,0.026306
30,1,baseline,25.8519,25.9973,25.8519,0.0,0.026107
30,2,baseline,25.8951,25.9554,25.8951,0.0,0.026059
30,3,baseline,25.4128,25.6255,25.4128,0.0,0.025728
31,0,baseline,21.2603,26.3421,21.2603,0.0,0.026463
31,1,baseline,25.7292,25.8809,25.7292,0.0,0.025993
31,2,baseline,25.3248,25.8498,25.3248,0.0,0.025962
31,3,baseline,25.9807,25.7166,25.7166,0.0,0.026006
32,0,baseline,20.8809,26.2273,20.8809,0.0,0.026339
32,1,baseline,25.6252,26.2132,25.6252,0.0,0.026328
32,2,baseline,25.4131,26.1459,25.4131,0.0,0.026257
32,3,baseline,26.157,25.8267,25.8267,0.0,0.026183
33,0,baseline,21.1116,26.5256,21.1116,0.0,0.026637
33,1,baseline,26.2826,26.3811,26.2826,0.0,0.026523
33,2,baseline,26.4151,25.9131,25.9131,0.0,0.026444
33,3,baseline,26.6698,25.3744,25.3744,0.0,0.026697
34,0,baseline,20.9937,26.3756,20.9937,0.0,0.026486
34,1,baseline,26.1412,26.5195,26.1412,0.0,0.02664
34,2,baseline,26.3521,25.9652,25.9652,0.0,0.026378
34,3,baseline,26.4592,25.6968,25.6968,0.0,0.026486
35,0,baseline,21.1038,26.2009,21.1038,0.0,0.026308
35,1,baseline,26.3337,26.2512,26.2512,0.0,0.026359
35,2,baseline,26.8579,25.9524,25.9524,0.0,0.026885
35,3,baseline,26.2493,25.8801,25.8801,0.0,0.026275
36,0,baseline,20.9533,26.2333,20.9533,0.0,0.026345
36,1,baseline,25.8145,26.0234,25.8145,0.0,0.026133
36,2,baseline,25.8311,25.9894,25.8311,0.0,0.0261
36,3,baseline,26.4916,25.6095,25.6095,0.0,0.026518
37,0,baseline,20.8099,26.2764,20.8099,0.0,0.026388
37,1,baseline,26.1192,26.2522,26.1192,0.0,0.026361
37,2,baseline,26.1687,26.0545,26.0545,0.0,0.026195
37,3,baseline,26.4414,25.6134,25.6134,0.0,0.026467
38,0,baseline,21.3115,26.4112,21.3115,0.0,0.026526
38,1,baseline,26.264,26.036,26.036,0.0,0.026293
38,2,baseline,26.4395,26.042,26.042,0.0,0.02647
38,3,baseline,26.2352,25.4292,25.4292,0.0,0.026259
39,0,baseline,21.2463,26.3438,21.2463,0.0,0.02645
39,1,baseline,26.4079,25.8592,25.8592,0.0,0.026433
39,2,baseline,26.4145,26.0201,26.0201,0.0,0.026441
39,3,baseline,26.2606,25.5883,25.5883,0.0,0.026286
40,0,baseline,21.4075,26.2829,21.4075,0.0,0.026398
40,1,baseline,26.504,26.293,26.293,0.0,0.02653
40,2,baseline,26.4932,26.0628,26.0628,0.0,0.026519
40,3,baseline,27.332,25.1114,25.1114,0.0,0.027357
41,0,baseline,21.4154,26.3234,21.4154,0.0,0.026437
41,1,baseline,26.3191,26.1182,26.1182,0.0,0.026355
41,2,baseline,25.7415,26.0939,25.7415,0.0,0.026264
41,3,baseline,25.9235,25.6413,25.6413,0.0,0.025949
42,0,baseline,21.6622,26.1982,21.6622,0.0,0.026304
42,1,baseline,26.798,25.7831,25.7831,0.0,0.026825
42,2,baseline,26.8851,25.8098,25.8098,0.0,0.026911
42,3,baseline,27.1878,25.6411,25.6411,0.0,0.027214
43,0,baseline,21.5427,26.1782,21.5427,0.0,0.026285
43,1,baseline,25.7611,25.893,25.7611,0.0,0.026165
43,2,baseline,25.7145,26.1651,25.7145,0.0,0.026272
43,3,baseline,25.8646,25.6699,25.6699,0.0,0.025891
44,0,baseline,21.3807,26.2452,21.3807,0.0,0.026407
44,1,baseline,26.1588,26.1013,26.1013,0.0,0.026329
44,2,baseline,26.0257,26.1803,26.0257,0.0,0.026407
44,3,baseline,26.274,25.6649,25.6649,0.0,0.026299
45,0,baseline,21.4092,26.2567,21.4092,0.0,0.026369
45,1,baseline,26.2237,25.9532,25.9532,0.0,0.02625
45,2,baseline,26.2194,25.9305,25.9305,0.0,0.026253
45,3,baseline,25.8862,25.8128,25.8128,0.0,0.025918
46,0,baseline,21.4876,26.1321,21.4876,0.0,0.026239
46,1,baseline,26.3253,25.9466,25.9466,0.0,0.026353
46,2,baseline,26.2081,25.997,25.997,0.0,0.026242
46,3,baseline,27.255,25.2487,25.2487,0.0,0.027281
47,0,baseline,21.718,26.1796,21.718,0.0,0.026308
47,1,baseline,26.2916,26.0255,26.0255,0.0,0.026319
47,2,baseline,26.1039,25.974,25.974,0.0,0.026167
47,3,baseline,25.8387,25.7133,25.7133,0.0,0.025863
48,0,baseline,21.647,26.3132,21.647,0.0,0.026424
48,1,baseline,26.2554,25.6874,25.6874,0.0,0.026287
48,2,baseline,26.3159,26.0246,26.0246,0.0,0.026344
48,3,baseline,26.3032,25.4606,25.4606,0.0,0.02633
49,0,baseline,21.2263,26.2365,21.2263,0.0,0.02635
49,1,baseline,25.9968,26.2135,25.9968,0.0,0.026345
49,2,baseline,25.8514,26.0616,25.8514,0.0,0.026276
49,3,baseline,26.1815,25.6856,25.6856,0.0,0.026207
50,0,baseline,21.5033,26.2392,21.5033,0.0,0.026352
50,1,baseline,26.2602,25.9759,25.9759,0.0,0.026289
50,2,baseline,26.1525,26.043,26.043,0.0,0.026182
50,3,baseline,26.54,25.6423,25.6423,0.0,0.026566
51,0,baseline,21.7221,26.1106,21.7221,0.0,0.026222
51,1,baseline,26.3095,26.0195,26.0195,0.0,0.026337
51,2,baseline,26.0676,25.8077,25.8077,0.0,0.026095
51,3,baseline,26.0095,25.6823,25.6823,0.0,0.026034
52,0,baseline,21.9933,26.2309,21.9933,0.0,0.026344
52,1,baseline,26.715,25.7739,25.7739,0.0,0.026742
52,2,baseline,27.1568,25.507,25.507,0.0,0.027182
52,3,baseline,26.5036,25.5349,25.5349,0.0,0.026528
53,0,baseline,21.5358,26.2188,21.5358,0.0,0.026327
53,1,baseline,26.174,25.9455,25.9455,0.0,0.0262
53,2,baseline,26.2263,26.0361,26.0361,0.0,0.026251
53,3,baseline,26.0162,25.6917,25.6917,0.0,0.026117
54,0,baseline,21.5943,26.2097,21.5943,0.0,0.02632
