step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
25,2,tempo,12.7384,20.4007,0.0,0.0,0.033174
25,3,tempo,12.6939,20.3756,0.0,0.0,0.033099
26,0,tempo,11.8164,20.3945,0.0,0.0,0.032242
26,1,tempo,12.4219,20.3788,0.0,0.0,0.032835
26,2,tempo,12.4712,20.3757,0.0,0.0,0.032877
26,3,tempo,12.2446,20.3756,0.0,0.0,0.03268
27,0,tempo,12.065,20.4357,0.0,0.0,0.032535
27,1,tempo,11.6894,20.3759,0.0,0.0,0.0321
27,2,tempo,11.1741,20.3955,0.0,0.0,0.0316
27,3,tempo,11.5397,20.3755,0.0,0.0,0.031952
28,0,tempo,11.5293,20.3766,0.0,0.0,0.031934
28,1,tempo,11.8693,20.4478,0.0,0.0,0.032355
28,2,tempo,12.2406,20.3943,0.0,0.0,0.032669
28,3,tempo,11.6183,20.3757,0.0,0.0,0.032027
29,0,tempo,12.6351,20.4062,0.0,0.0,0.033071
29,1,tempo,12.738,20.3915,0.0,0.0,0.03316
29,2,tempo,12.9509,20.3761,0.0,0.0,0.033356
29,3,tempo,12.8756,20.4435,0.0,0.0,0.033354
30,0,tempo,12.307,20.3756,0.0,0.0,0.03272
30,1,tempo,12.0036,20.3756,0.0,0.0,0.032413
30,2,tempo,11.5346,20.376,0.0,0.0,0.031946
30,3,tempo,11.8087,20.3768,0.0,0.0,0.032217
31,0,tempo,12.7726,20.4003,0.0,0.0,0.033205
31,1,tempo,12.9695,20.3939,0.0,0.0,0.033439
31,2,tempo,13.3393,20.376,0.0,0.0,0.033748
31,3,tempo,12.692,20.3913,0.0,0.0,0.033114
32,0,tempo,12.5833,20.3756,0.0,0.0,0.032991
32,1,tempo,12.3078,20.3755,0.0,0.0,0.032723
32,2,tempo,11.9008,20.3948,0.0,0.0,0.03233
32,3,tempo,12.8103,20.3757,0.0,0.0,0.033222
33,0,tempo,12.4009,20.3756,0.0,0.0,0.03281
33,1,tempo,11.837,20.3868,0.0,0.0,0.032253
33,2,tempo,12.6037,20.3836,0.0,0.0,0.033021
33,3,tempo,12.4804,20.3756,0.0,0.0,0.032892
34,0,tempo,11.7962,20.388,0.0,0.0,0.03222
34,1,tempo,12.5331,20.3927,0.0,0.0,0.032956
34,2,tempo,12.3006,20.3907,0.0,0.0,0.03272
34,3,tempo,11.8038,20.3828,0.0,0.0,0.032216
