timestamp,step,allreduce_latency_ms,allreduce_bw_gbs,io_flood_active,rank_is_flooder,nic_util_pct
0.2767,0,88.5565,5.6461,0,0,0.0
0.301,1,23.5546,21.2273,0,0,0.0
0.3248,2,23.2693,21.4875,0,0,0.0
0.3487,3,23.5499,21.2315,0,0,0.0
0.3727,4,23.6313,21.1584,0,0,0.0
0.3963,5,23.2343,21.5199,0,0,0.0
0.4203,6,23.4855,21.2897,0,0,0.0
0.4438,7,23.2503,21.5051,0,0,0.0
0.4684,8,23.4265,21.3433,0,0,0.0
0.4931,9,24.0333,20.8045,0,0,0.0
0.5165,10,23.0711,21.6722,0,0,0.0
0.5404,11,23.4719,21.3021,0,0,0.0
0.5645,12,23.66,21.1327,0,0,0.0
0.5884,13,23.6788,21.1159,0,0,0.0
0.6126,14,23.7901,21.0171,0,0,0.0
0.636,15,23.143,21.6048,0,0,0.0
0.6604,16,23.8449,20.9688,0,0,0.0
0.6845,17,23.687,21.1086,0,0,0.0
0.7081,18,23.0844,21.6597,0,0,0.0
0.7327,19,24.0611,20.7804,0,0,0.0
0.7566,20,23.5724,21.2112,0,0,0.0
0.7803,21,23.3245,21.4367,0,0,0.0
0.804,22,23.2325,21.5216,0,0,0.0
0.8284,23,23.8321,20.9801,0,0,0.0
0.8524,24,23.5795,21.2049,0,0,0.0
0.8764,25,23.6859,21.1096,0,0,0.0
0.9001,26,23.2605,21.4957,0,0,0.0
0.9236,27,23.1208,21.6255,0,0,0.0
0.9476,28,23.5168,21.2614,0,0,0.0
0.9717,29,23.5825,21.2022,0,0,0.0
0.9954,30,23.4074,21.3608,0,0,0.0
1.0197,31,23.52,21.2585,0,0,0.0
1.0434,32,23.2222,21.5311,0,0,0.0
1.0672,33,23.4639,21.3093,0,0,0.0
1.0912,34,23.7726,21.0326,0,0,0.0
1.115,35,23.4909,21.2849,0,0,0.0
1.1389,36,23.579,21.2053,0,0,0.0
1.1633,37,23.9061,20.9152,0,0,0.0
1.1869,38,23.2252,21.5284,0,0,0.0
1.2112,39,23.5817,21.2029,0,0,0.0
1.2356,40,23.8601,20.9555,0,0,0.0
1.2597,41,23.6331,21.1568,0,0,0.0
1.284,42,23.7457,21.0564,0,0,0.0
1.3079,43,23.4468,21.3249,0,0,0.0
1.3318,44,23.442,21.3292,0,0,0.0
1.3559,45,23.7837,21.0228,0,0,0.0
1.3797,46,23.5356,21.2444,0,0,0.0
1.4037,47,23.5092,21.2683,0,0,0.0
1.4275,48,23.3516,21.4118,0,0,0.0
1.4514,49,23.3991,21.3683,0,0,0.0
1.4755,50,23.7664,21.0381,0,0,0.0
1.4998,51,23.9551,20.8724,0,0,0.0
1.5236,52,23.3959,21.3713,0,0,0.0
1.5474,53,23.2567,21.4992,0,0,0.0
1.5717,54,23.7818,21.0245,0,0,0.0
1.5955,55,23.4269,21.343,0,0,0.0
1.619,56,23.0632,21.6795,0,0,0.0
1.6431,57,23.5626,21.2201,0,0,0.0
1.6671,58,23.687,21.1086,0,0,0.0
1.691,59,23.5967,21.1894,0,0,0.0
1.7148,60,23.4799,21.2948,0,0,0.0
1.7383,61,23.2241,21.5294,0,0,0.0
1.7626,62,23.5026,21.2742,0,0,0.0
1.7865,63,23.6384,21.152,0,0,0.0
1.8105,64,23.4712,21.3027,0,0,0.0
1.8348,65,23.7269,21.0732,0,0,0.0
1.8587,66,23.4729,21.3012,0,0,0.0
1.8821,67,23.1031,21.6422,0,0,0.0
1.9067,68,24.0377,20.8007,0,0,0.0
1.9301,69,23.0737,21.6697,0,0,0.0
1.9544,70,23.715,21.0837,0,0,0.0
1.9782,71,23.5141,21.2639,0,0,0.0
2.0022,72,23.6708,21.1231,0,0,0.0
2.0263,73,23.7566,21.0467,0,0,0.0
2.0502,74,23.597,21.1892,0,0,0.0
2.0741,75,23.5599,21.2225,0,0,0.0
2.0982,76,23.6458,21.1454,0,0,0.0
2.1223,77,23.6597,21.133,0,0,0.0
2.1466,78,23.8122,20.9977,0,0,0.0
2.1701,79,23.1283,21.6186,0,0,0.0
2.1944,80,23.7965,21.0115,0,0,0.0
2.2186,81,23.81,20.9996,0,0,0.0
2.2422,82,23.1256,21.6211,0,0,0.0
2.2665,83,23.5569,21.2252,0,0,0.0
2.2911,84,24.183,20.6757,0,0,0.0
2.3156,85,24.0834,20.7612,0,0,0.0
2.3396,86,23.1613,21.5877,0,0,0.0
2.3633,87,23.2711,21.4858,0,0,0.0
2.3873,88,23.6361,21.154,0,0,0.0
2.411,89,22.9866,21.7518,0,0,0.0
2.4358,90,23.4613,21.3117,0,0,0.0
2.4598,91,23.7391,21.0623,0,0,0.0
2.4837,92,23.5809,21.2036,0,0,0.0
2.5075,93,23.4763,21.2981,0,0,0.0
2.5315,94,23.635,21.155,0,0,0.0
2.5553,95,23.4941,21.2819,0,0,0.0
2.5791,96,23.4537,21.3186,0,0,0.0
2.6032,97,23.8076,21.0017,0,0,0.0
2.627,98,23.3971,21.3701,0,0,0.0
2.6505,99,23.1364,21.6109,0,0,0.0
2.6803,100,29.1459,17.1551,0,0,0.0
2.7078,101,23.9339,20.8909,0,0,0.0
2.7322,102,23.826,20.9855,0,0,0.0
2.7564,103,23.7488,21.0537,0,0,0.0
2.7807,104,23.801,21.0075,0,0,0.0
2.8072,105,25.5652,19.5579,0,0,0.0
2.8329,106,25.0943,19.9248,0,0,0.0
2.8584,107,24.8832,20.0939,0,0,0.0
2.8836,108,24.6377,20.2941,0,0,0.0
2.9087,109,24.6946,20.2473,0,0,0.0
2.9341,110,24.7433,20.2075,0,0,0.0
2.9594,111,24.7669,20.1883,0,0,0.0
2.9846,112,24.6362,20.2953,0,0,0.0
3.0091,113,23.7856,21.0211,0,0,0.0
3.0423,114,32.2798,15.4895,0,0,0.0
3.0681,115,25.1132,19.9099,0,0,0.0
3.0937,116,25.0317,19.9747,0,0,0.0
3.1193,117,24.9147,20.0685,0,0,0.0
